Words,Frequency
experience,209
service,136
provider,127
healthcare provider,86
healthcare,86
bad,76
wo coming,50
wo,50
disappointing wo,50
disappointing,50
coming back,50
coming,50
service disappointing,50
back,50
great,48
great experience,48
provider excellent,48
excellent great,48
excellent,48
received highly,46
received,46
highly,46
recommended,46
highly recommended,46
satisfied,46
satisfied service,46
service received,46
feeling,44
feeling experience,44
mixed feeling,44
mixed,44
attentive could,43
staff,43
staff caring,43
attentive,43
happier,43
caring,43
caring attentive,43
could,43
could happier,43
experience terrible,41
would,41
terrible would,41
terrible,41
recommend provider,41
recommend,41
would not,41
not,41
not recommend,41
okay nothing,40
okay,40
nothing exceptional,40
exceptional,40
nothing,40
service okay,40
avoid possible,38
neither,38
average,38
average experience,38
neither good,38
nor,38
avoid,38
possible,38
bad experience,38
nor bad,38
good,38
good nor,38
experience neither,38
provider avoid,38
experience healthcare,38
